Map													Zone																																																																																									Connections												
														Type					Restrictions				Player towns					Neutral towns					Town types										Minimum mines							Mine Density							Terrain											Monsters													Treasure									Options												Zones		Options							Restrictions			
Name	Minimum Size	Maximum Size	Artifacts	Combo Arts	Spells	Secondary skills	Objects	Rock blocks	Zone sparseness	Special weeks disabled	Spell Research	Anarchy	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	Cove	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Highlands	Wasteland	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	Cove	Low	High	Density	Low	High	Density	Low	High	Density	Placement	Objects	Minimum objects	Image settings	Force neutral creatures	Allow non-coherent road	Zone repulsion	Town Hint	Monsters disposition (standard)	Monsters disposition (custom)	Monsters joining percentage	Monsters join only for money	Zone 1	Zone 2	Value	Wide	Border Guard	Road	Type	Fictive	Portal repulsion	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions
2-Trivial-2-Zones-Castle	32	32											1			x		165	1	2	2	2						4	1				x	x	x	x	x	x	x	x		x																	x									strong			x										30000	40000	2	20000	30000	9	10000	20000	7	ground								3		0	x	1	2	45000			+	ground			1	2	2	2
													2			x		10	1	2	2	2						1	3				x	x	x	x	x	x	x	x	x	x	4		4														x									weak			x										15000	22500	2	5000	15000	10	100	5000	7	ground								3		1	x	1	2	45000			+	ground			1	2	2	2
													3			x		10	1	2	2	2						1	3				x	x	x	x	x	x	x	x	x	x	4		4														x									weak			x										15000	22500	2	5000	15000	10	100	5000	7	ground								3		1	x	1	2	45000			+	ground			1	2	2	2
													4			x		10	1	2	2	2							1				x	x	x	x	x	x	x	x		x																	x									strong			x										25000	35000	2	15000	25000	9	5000	15000	7	ground								3		1	x	1	2	45000			+	ground			1	2	2	2
													5			x		10	1	2	2	2							1				x	x	x	x	x	x	x	x		x																	x									strong			x										25000	35000	2	15000	25000	9	5000	15000	7	ground								3		1	x	1	3	45000			+	ground			1	2	2	2
													6	x				8	1	2	2	2	1		1								x	x	x	x	x	x	x	x	x	x	1		1				1										x									weak	x															200	400	9	100	300	40	underground								0		3	x	1	3	45000			+	ground			1	2	2	2
													7			x		8	1	2	2	2							1				x	x	x	x	x	x	x	x		x																	x									strong			x													75000	85000	1	250	250	20	underground								3		1	x	1	3	45000			+	ground			1	2	2	2
													8	x				8	1	2	2	2	2		1								x	x	x	x	x	x	x	x	x	x	1		1				1										x									weak	x															200	400	9	100	300	40	underground								0		3	x	1	3	45000			+	ground			1	2	2	2
													9			x		8	1	2	2	2							1				x	x	x	x	x	x	x	x		x																	x									strong			x													75000	85000	1	250	250	20	underground								3		1	x	1	4	45000				ground	x		1	2	2	2
																																																																																																						1	5	45000				ground	x		1	2	2	2
																																																																																																						2	6	1000			+	underground		x	1	2	2	2
																																																																																																						3	8	1000			+	underground		x	1	2	2	2
																																																																																																						4	7	60000			-	underground		x	1	2	2	2
																																																																																																						5	9	60000			-	underground		x	1	2	2	2
